11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
MYC	0.47373728	0.361295957333333	0.414989868	0.691051556666667	0.030716379746	0.142375971233333	0.1740287208	0.046135070902	0.153131345466667	0.400911561666667	0.05824722157	0.0206315735016667	0.359843867666667	0.063357183805	0.0440714729366667	0.0181286784013333	0.0363987847376667	0.026458860971	0.0290958403333333	0.05564656034	0.0116892094206667	0.419207354333333	0.0456092336	0.0124179663226667	0.0349018698233333	0.0262216040413333	0.210036925333333	0.0589009053866667	0.0149409277241333	0.0166494451013333	0.0454760804946667	0.040586835496	0.392371357	0.0448303646869	0.0140040245373333	0.119836349203333	0.013647649487	0.02221672858	0.0325231520333333	0.458599243666667	0.05925615916	0.243380964	0.0850556242533333	0.979876613333333	0.0701256216066667	0.0118359638353333	0.0163968612616667	0.934813286666667	0.301184869	0.368016488333333	0.0777287524466667	0.692755173333333	0.2001802999	0.588487363333333	0.158487674933333	0.844740516666667	0.0375716573	0.508663334333333	0.0335560761143333	0.235495859333333	0.05481981221	0.171342260666667	0.869022706666667	0.0337702803426667	0.130962038766667	0.0136072503033333	0.019028903583	0.229549679333333	0.0182841327116667	0.432174861	0.441163201666667	0.482480093333333	0.5786167	0.0662391295333333	0.655277296666667	0.67566814	0.203308595	0.0437059378966667	0.0570157443266667	0.163124892966667	0.0561515383566667	0.260475018333333	0.278535438666667	0.0556546076286667	0.370740916	0.146539063966667	0.022734002077	0.0196455475463333	0.84344009	0.0445758354993333	0.575398993333333	0.94653625	0.0283231071366667	0.118105740866667	0.82696089	0.04434612006	0.775590663333333	0.0147315233626667	0.0314979398643333	0.027073950184	0.466962973333333	0.952027906666667	0.0177896825953333	0.307323903	0.07722154338	0.0405318996883333	0.0144371610073333	0.0281373292166667	0.343939788666667	0.0164926049473333
SPI1	0.1539787953	0.719042498	0.274865861093333	0.848971391666667	0.36425641713	0.2779782581	0.06577447864	0.151491816526667	0.629802491333333	0.10912739575	0.862291025666667	0.249505796926667	0.122661280613333	0.652456214066667	0.825755602333333	0.191190474666667	0.306749440586667	0.13544406988	0.0919633170503333	0.163068062386667	0.0821926964233333	0.514506360766667	0.348132368903333	0.101834340729	0.0969219364766667	0.687604717766667	0.88000976	0.121619745588333	0.0503835532356667	0.0713520361403333	0.232486303336	0.329760162133333	0.458798820133333	0.117151968833333	0.09236925844	0.0976862172183333	0.149418879173333	0.15953845532	0.105398034773333	0.342173400896667	0.425017259966667	0.0645168829356667	0.102029951926667	0.86414583	0.0498512053486667	0.07770517072	0.086597964622	0.904377896333333	0.677986571333333	0.731639436	0.0541508981666667	0.0958113769046667	0.193820433136667	0.813087397833333	0.5768671746	0.920349743333333	0.0914458124366667	0.0453397605126667	0.120956710436667	0.15800736464	0.420259769233333	0.320729994333333	0.583173966266667	0.13277660893	0.0580741910613333	0.405837808653333	0.141996041920667	0.18559047027	0.139142170609667	0.283191014426667	0.629076027	0.759294193333333	0.5166092197	0.25048694466	0.0886580440666667	0.38354716948	0.166708517766667	0.162314808416667	0.11161380557	0.4528728226	0.4393577936	0.494719465466667	0.462055986266667	0.0913383115966667	0.19267226608	0.10975168099	0.109457881863333	0.0822496694856667	0.894216123666667	0.108721464365667	0.924306943333333	0.412280664393333	0.109326083643333	0.23746777853	0.0768870132266667	0.074465129217	0.6077879137	0.058200484633	0.268051836262667	0.0704380558933333	0.874515663666667	0.93397269	0.117441187386667	0.181116593001	0.276848595153333	0.112900998156667	0.0806740378266667	0.381686607833333	0.200520749103333	0.0876093496733333
SMAD3	0.839504635666667	0.5781233648	0.376745805766667	0.860893932	0.664434969666667	0.735264912	0.0264746931466667	0.750786662	0.573317423166667	0.15381652656	0.575515771766667	0.037984781364	0.239480921993333	0.462092587	0.737091975	0.04190711666	0.239280833433333	0.03376752342	0.0273062629856667	0.275187319556667	0.0292773489583333	0.311834465133333	0.5450101766	0.032707865574	0.369637181033333	0.0387072389123333	0.906497306666667	0.313114466866667	0.01813946826	0.0913501973933333	0.13704929706	0.138048664416667	0.879193536666667	0.0467863419523333	0.0379493115641667	0.427092446566667	0.590470141633333	0.0346017538996667	0.0889448958276667	0.395003434633333	0.360057891666667	0.268458516033333	0.162494184386667	0.924308726666667	0.12410198455	0.0645967390406667	0.0565293160716667	0.909704703333333	0.742696108	0.541403073233333	0.127221771673333	0.4160148965	0.129683198426667	0.840554113333333	0.468194843266667	0.96610807	0.11976418324	0.06631524743	0.0347110953566667	0.597118726	0.707494870666667	0.0511309102166667	0.712978907666667	0.06207156204	0.05361664124	0.0844123291	0.05716019768	0.2288967004	0.475314644966667	0.212349900983333	0.768356606666667	0.775297442333333	0.384718602366667	0.856229119	0.161088962086667	0.0875406766666667	0.13063688384	0.275539645176667	0.09543114164	0.33454564574	0.4200912681	0.864378806666667	0.5362373473	0.04960637577	0.123603241176667	0.11368526143	0.0858251346133333	0.0247710523813333	0.576836839666667	0.0671132754863333	0.837631426666667	0.153902742656667	0.224833846333333	0.14581790983	0.107175492063333	0.0565314951766667	0.748026492333333	0.031061018994	0.651748611666667	0.169564794596667	0.840419686333333	0.864271423333333	0.219150237033333	0.149848568576667	0.535509132333333	0.08159502164	0.100793065913333	0.0508135651506667	0.278089365033333	0.1664673631
SMAD4	0.510329132776667	0.483352852786667	0.384440171236667	0.596091452766667	0.17422605317	0.683110039433333	0.174728346603333	0.562852830223333	0.599907590836667	0.21197102147	0.502082052743333	0.124819813203333	0.313153267003333	0.603942816536667	0.487560233933333	0.174635001443333	0.273602443576667	0.15170094898	0.0750477438833333	0.32419680735	0.09697795456	0.605684864846667	0.6704263691	0.122159162856667	0.378558052213333	0.203009667946667	0.864480259	0.511753747246667	0.102800243483333	0.212685538823333	0.257048548466667	0.322231562213333	0.836655539	0.194303944812	0.148558465162	0.4248798467	0.625241294663333	0.286557475796667	0.25994157136	0.502814056783333	0.504621365133333	0.358231540276667	0.189574932478333	0.851833896	0.236613955798333	0.144144127613333	0.246647405100333	0.784282901633333	0.673328755966667	0.48678984228	0.231699365496667	0.682505355366667	0.35783218993	0.631807405	0.615915858033333	0.834890722666667	0.23027049636	0.353284625393333	0.199980743746667	0.444842250728	0.658812959333333	0.140162398326667	0.6244051708	0.2107756754	0.124965108899667	0.270436777195	0.544688494266667	0.33961772198	0.48228730929	0.327747693654	0.430864713446667	0.617434809393333	0.424011629166667	0.572302943053	0.39636250559	0.24858359	0.318934974706667	0.233598285025	0.296233781046667	0.260983336146667	0.374851308659333	0.6329967701	0.650426521947333	0.12300387491	0.530209645296667	0.469097475336667	0.182736459153333	0.118751546	0.720925604	0.148315279003333	0.667030264833333	0.47936158629	0.503840768163333	0.30737773022	0.364742247486667	0.193724367706667	0.7608034052	0.112975946166667	0.492545323333333	0.333538030666667	0.631969103976667	0.864708837666667	0.295562817886333	0.264850790073333	0.37938840931	0.230579479686667	0.28381278126	0.23203043245	0.360683052949333	0.39612463264
STAT5A	0.452924241996	0.580550171033333	0.55350453186	0.523888801963333	0.2815353642	0.255168571692333	0.450536024133333	0.298595821165	0.534766331883333	0.467220704233333	0.501822752488	0.6285054249	0.319542968103333	0.518438720733333	0.420567029586667	0.527371047877667	0.434983635008333	0.599576676221	0.390562229007767	0.383776572125	0.243318961413333	0.513736167666667	0.358090411416667	0.255015322238333	0.34273422083	0.619961513966667	0.450447878016667	0.525909990686667	0.395652373350733	0.394278613816667	0.417504559871667	0.426551717983333	0.498890985273333	0.445776102875667	0.370323487891	0.288228994466667	0.288538350383333	0.458732133873333	0.220422414147667	0.450128340293333	0.480641944521333	0.273580915006667	0.27871181195	0.5036300313396	0.469615880578667	0.290066756763333	0.256864510516333	0.709589915	0.503902666083333	0.681085578093333	0.414311206443333	0.25538856732	0.628471593983333	0.417938077693333	0.559294380286667	0.528970667666667	0.215632737833333	0.441843357283333	0.431270857516667	0.475284601817	0.490817006766667	0.444936937944	0.401674147533333	0.439920530363333	0.309917390873	0.613281987533333	0.38223935154	0.536790178086667	0.355015346913333	0.6734992017	0.435802701666667	0.554907540866667	0.309951997397333	0.57295669008	0.241664965025	0.500814034746667	0.534660058633333	0.324320703566667	0.491267284723667	0.30672831641	0.42863735046	0.401538027636667	0.458373704546667	0.36862635178	0.409386180656667	0.424715595533333	0.223866150143333	0.278011829967667	0.61565947094	0.223040709933333	0.565270285183333	0.49043778001	0.279365206301	0.413235092653333	0.45806075089	0.22745993054	0.567395917566667	0.247305705806667	0.37790332432	0.316185220763333	0.64494366469	0.53053629731	0.320384585826667	0.358149234771333	0.390159560253333	0.243468279686667	0.50263914692	0.53330860083	0.359456415416333	0.239079993084333
STAT5B	0.507051091303333	0.461554240426667	0.437008503296667	0.366240770423333	0.44630707674	0.351346155715667	0.503968392793	0.439086617829667	0.44742650979	0.44139638476	0.496523678213333	0.59530094424	0.470268591053333	0.4680952903	0.557686686296667	0.457318002386667	0.40851348777	0.56651476312	0.43424327403	0.491355937559333	0.4443914238	0.454376575095	0.424019938963333	0.41917859346	0.351381031969	0.484013074773333	0.507874963733333	0.534516984293333	0.428030497713333	0.436309429816667	0.41675128167	0.495661917103333	0.50572866108	0.499571944096197	0.394618105579667	0.352624916890333	0.379540693076667	0.427631565398333	0.40023274162	0.484071479408	0.515366139543333	0.393807530846667	0.48807521328	0.435976664414	0.569244888186667	0.381627623925	0.423584842908333	0.511859850039667	0.484184574737	0.610545917633333	0.53557108874	0.382561136963333	0.51476487556	0.511728607450333	0.47422537083	0.491567020593333	0.411402916409	0.364147328003667	0.38745519633	0.456783966216667	0.526274154133333	0.503436665036667	0.393270325208333	0.437382417668333	0.309381449209333	0.443999110343333	0.334615518286667	0.513299829379	0.411691503893333	0.586220476566667	0.420605599136667	0.594096290156667	0.39441456035	0.479891887008667	0.4125432063	0.529970475863333	0.524279649232667	0.414276969311	0.496582372976667	0.473887882773333	0.388798715073767	0.472763727083333	0.52222952341	0.47079503874	0.449457919666667	0.391705079753333	0.366611499386667	0.316113870575	0.541284912754667	0.379173252413333	0.46431104711	0.42866816381	0.359880838311333	0.445678789183333	0.5669244661	0.361856742036667	0.5344299891	0.303029734640333	0.366975245176667	0.392584159053333	0.530974807129333	0.51919578931	0.398102426826667	0.427402303826667	0.445381246116667	0.446148593386667	0.454492766203333	0.550005888686667	0.487549445855	0.410972952253333
RELA	0.1266506663	0.695719086666667	0.0945186928666667	0.787201463333333	0.060153434806	0.0805331687933333	0.023426779352	0.02126077273	0.39387028	0.0364365258273333	0.447826066666667	0.0562869220293333	0.0437380060066667	0.228143961233333	0.241260469666667	0.033431570187	0.03299295162	0.04779257293	0.0367036315313333	0.0446611045523333	0.01709894296	0.400142241	0.06260140443	0.0119014307373333	0.0250260405316667	0.163567144666667	0.617738473333333	0.0653243022666667	0.0116008365606667	0.0116724149073333	0.0427856734666667	0.0507207733366667	0.214300312	0.0203061634476667	0.0134027237003333	0.0600978988733333	0.0156709855876667	0.0893050386333333	0.0186907845926667	0.247599369	0.0981981789633333	0.0218472925283333	0.018430582613	0.951036483333333	0.0295270925233333	0.023259518446	0.0182176526353333	0.983164103333333	0.474761243333333	0.764716516666667	0.0179658528886667	0.0257307807336667	0.1319046881	0.472551153333333	0.177780743933333	0.93637161	0.027067278625	0.0170490382916667	0.022929347113	0.0982796081333333	0.160156774933333	0.0998390646666667	0.764132353333333	0.0510788068966667	0.02212232844	0.0378212266233333	0.0244670977256667	0.04374141764	0.0304205283666667	0.222324302	0.231684327	0.71959888	0.084998266	0.238806327666667	0.03518498326	0.291973675666667	0.0797961329433333	0.0384625817766667	0.0633721147866667	0.0814492956666667	0.219142742366667	0.50367517	0.290519238	0.0213491297633333	0.0561492004	0.0571435251293333	0.0220885923456667	0.00817416518266667	0.929442933333333	0.030306294138	0.93507818	0.1433910445	0.022600193855	0.06942313503	0.08586221916	0.0229138658196667	0.768197426666667	0.0138232560733333	0.04711658789	0.0300813685703333	0.899058886666667	0.979806983333333	0.0263605767803333	0.1248233608	0.0737988209666667	0.03213983074	0.0229082421946667	0.0437182588533333	0.0648436962866667	0.0251486790733333
WT1	0.418273479323333	0.505643956503333	0.41447645658	0.478909715283333	0.445096180183333	0.430088085553333	0.382924862487	0.474991902653333	0.4961435308	0.386445252401	0.458944376006667	0.38947636645	0.357376156936667	0.484498401207	0.48487046771	0.426574747245333	0.447515177093333	0.416320086616	0.436340385823333	0.440580982033333	0.396920870016667	0.43732519701	0.461936492762333	0.382540382082667	0.4958529283	0.415335629030533	0.4266721796	0.417681426706667	0.447919127773333	0.478887386173333	0.452421952556667	0.482406424336667	0.498336256747333	0.469605460126667	0.38872037477	0.467573328713333	0.40127711782	0.403018515026667	0.43741995109	0.461899876933333	0.52133666747	0.502104087013333	0.451208794056667	0.461313110846667	0.437043556383333	0.371393394483333	0.480059929966667	0.5024547801	0.430258300929333	0.501615258351667	0.410623619796667	0.307256791069667	0.405436514311667	0.414137085909667	0.390494957753333	0.551636580153333	0.481809689313333	0.363351189693333	0.416408071086667	0.42964629135	0.454523338773333	0.39789857962	0.520572239383333	0.483357305466667	0.424061184203333	0.460005967163333	0.374414609766667	0.474557980973333	0.390112325456667	0.468171444286667	0.455745308413333	0.528664725933333	0.417800190223333	0.457050403816667	0.429277971653333	0.587932468233333	0.500586668905667	0.463563006186667	0.43458481094	0.4711635015	0.452524938101467	0.400418997593333	0.517121908853333	0.38212953116	0.450143091167667	0.445200334726667	0.363769705685	0.393194566923333	0.341614514014333	0.423983559056667	0.44895668411	0.403539810418667	0.49937903878	0.46281387437	0.399552431813333	0.348282246933333	0.445673830283333	0.311094201733333	0.46609114077	0.455789166313333	0.52081503186	0.462561177436667	0.412038452116667	0.50304091512	0.483626674966667	0.505816161426667	0.49082738155	0.443255317721333	0.551807359706667	0.40243417078
SP1	0.145291403	0.249349065333333	0.138859898333333	0.427536253333333	0.0165447602663333	0.152595669	0.0250888510838333	0.0389430067333333	0.245775330666667	0.0149727915783333	0.109003847333333	0.0089952839041	0.0638150105	0.0819913167	0.0915048209666667	0.008369255388	0.0170751297	0.015325188602	0.0149084565805	0.025381750146	0.0043206673889	0.25075546	0.0358948167366667	0.00583861993166667	0.02361113961	0.0112174211993867	0.278356626666667	0.0506311066	0.00456886641733333	0.008616716931	0.0164195303133333	0.0213385343766667	0.243446888333333	0.00643469379133333	0.0105374666847333	0.108794845233333	0.01910668731	0.00860174132	0.0206598202266667	0.109878649	0.104563535333333	0.02662558012	0.02692118534	0.852931466666667	0.0211944381135667	0.00594232223233333	0.00739935638533333	0.588457416666667	0.189675271666667	0.26184396	0.015737776762	0.16675849	0.0453705472333333	0.26956219	0.235204635666667	0.60894954	0.012359689681	0.04449984538	0.0145766378143333	0.130857666333333	0.147560875333333	0.02081506516	0.35617844	0.0305808772566667	0.00888246956266667	0.00882201520866667	0.01472294286	0.0188464651826667	0.0138192670566667	0.0313799730193333	0.238995328666667	0.252232265333333	0.145645908666667	0.121445688666667	0.123132542	0.171984554333333	0.0348527703173333	0.02778664341	0.00906972803	0.0636155381666667	0.0375337328	0.0798076619666667	0.183619966666667	0.00971004184366667	0.026272000065	0.0461146928033333	0.00898137648833333	0.0133893378126667	0.457848263333333	0.022536661843	0.41380471	0.301593516666667	0.0104830788966667	0.02472333835	0.0439915790733333	0.0136633739925333	0.42652463	0.00783859550566667	0.03170787462	0.0137053057896667	0.31692434	0.71859653	0.009646193346	0.0653092469	0.03375393805	0.0112953348366667	0.018388987091	0.0113196249666667	0.0768933478	0.013846885132
TP53	0.00807754892233333	0.019843061805	0.00956019763	0.00964765122466667	0.38267948	0.0360566681933333	0.0290948922053333	0.297129613333333	0.024674256162	0.0242175244459667	0.237912410333333	0.894860936666667	0.0259297827098	0.140496973733333	0.103704830533333	0.65274995	0.203548923333333	0.9257403	0.266422852333333	0.1082784655	0.91861232	0.016925945701	0.126414457723333	0.899609346666667	0.0818862733	0.6387847	0.02877115866	0.0293136610066	0.987124756666667	0.635552463333333	0.1404156625	0.244913258	0.0171577042703333	0.628329063333333	0.821935683333333	0.0433321227866667	0.540550936666667	0.262029247	0.375564783333333	0.0130523154303333	0.3356604	0.010865589714	0.02630220413	0.00813948443403333	0.0318148358733333	0.79138925	0.469678313333333	0.00971412090966667	0.0180938086156667	0.0290340678576667	0.0269277275458	0.0084405763	0.03112333142	0.019422853458	0.032034499419	0.017003227509	0.0726956395866667	0.0186138784133333	0.263780055	0.016361168559	0.203233267333333	0.024344541315	0.00864500862766667	0.170771546433333	0.017914976733	0.943736426666667	0.439867366666667	0.01658208696	0.367072877	0.015952429383	0.038113254562	0.0156746846496667	0.0119257064723333	0.0403383786066667	0.0100541310426667	0.0172911504373333	0.0439869002233333	0.0818070034	0.100898156433333	0.026629911434	0.0299730257533333	0.045632453952	0.0274005879433333	0.428171640333333	0.0311911651266667	0.0245316057176667	0.382707726666667	0.883587176666667	0.014865948945	0.299599257	0.025873504367	0.009321650371	0.387712613333333	0.0303673980466667	0.0110256653766	0.127370634	0.0107366902106667	0.95779312	0.313252501	0.38153188	0.0242358789196667	0.00901590167	0.72783123	0.016822351826	0.03944710655	0.167215995666667	0.574650203333333	0.880121616666667	0.0287283509093333	0.407944086666667
